family;mode;size;align_method;tree_method;slave;tc
scorptoxin;slave;1000;CLUSTALO;CLUSTALO;mbed;75.3
scorptoxin;slave;1000;CLUSTALO;CLUSTALO;parttree;71.2
scorptoxin;slave;1000;CLUSTALO;CLUSTALO;famsadnd;74.0
scorptoxin;slave;1000;CLUSTALO;CLUSTALO-RANDOM;mbed;75.3
scorptoxin;slave;1000;CLUSTALO;CLUSTALO-RANDOM;parttree;64.4
scorptoxin;slave;1000;CLUSTALO;CLUSTALO-RANDOM;famsadnd;74.0
scorptoxin;slave;1000;CLUSTALO;FAMSA;mbed;78.1
scorptoxin;slave;1000;CLUSTALO;FAMSA;parttree;56.2
scorptoxin;slave;1000;CLUSTALO;FAMSA;famsadnd;74.0
scorptoxin;slave;1000;CLUSTALO;MAFFT_PARTTREE;mbed;74.0
scorptoxin;slave;1000;CLUSTALO;MAFFT_PARTTREE;parttree;63.0
scorptoxin;slave;1000;CLUSTALO;MAFFT_PARTTREE;famsadnd;74.0
scorptoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO;mbed;6.8
scorptoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO;parttree;24.7
scorptoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO;famsadnd;15.1
scorptoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;mbed;30.1
scorptoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;parttree;37.0
scorptoxin;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;famsadnd;17.8
scorptoxin;slave;1000;MAFFT-FFTNS1;FAMSA;mbed;43.8
scorptoxin;slave;1000;MAFFT-FFTNS1;FAMSA;parttree;49.3
scorptoxin;slave;1000;MAFFT-FFTNS1;FAMSA;famsadnd;26.0
scorptoxin;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;mbed;37.0
scorptoxin;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;parttree;47.9
scorptoxin;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;famsadnd;26.0
scorptoxin;slave;1000;FAMSA;CLUSTALO;mbed;74.0
scorptoxin;slave;1000;FAMSA;CLUSTALO;parttree;69.9
scorptoxin;slave;1000;FAMSA;CLUSTALO;famsadnd;72.6
scorptoxin;slave;1000;FAMSA;CLUSTALO-RANDOM;mbed;78.1
scorptoxin;slave;1000;FAMSA;CLUSTALO-RANDOM;parttree;65.8
scorptoxin;slave;1000;FAMSA;CLUSTALO-RANDOM;famsadnd;72.6
scorptoxin;slave;1000;FAMSA;FAMSA;mbed;72.6
scorptoxin;slave;1000;FAMSA;FAMSA;parttree;67.1
scorptoxin;slave;1000;FAMSA;FAMSA;famsadnd;72.6
scorptoxin;slave;1000;FAMSA;MAFFT_PARTTREE;mbed;72.6
scorptoxin;slave;1000;FAMSA;MAFFT_PARTTREE;parttree;71.2
scorptoxin;slave;1000;FAMSA;MAFFT_PARTTREE;famsadnd;72.6
cyt3;slave;1000;CLUSTALO;CLUSTALO;mbed;67.8
cyt3;slave;1000;CLUSTALO;CLUSTALO;parttree;35.6
cyt3;slave;1000;CLUSTALO;CLUSTALO;famsadnd;49.2
cyt3;slave;1000;CLUSTALO;CLUSTALO-RANDOM;mbed;51.7
cyt3;slave;1000;CLUSTALO;CLUSTALO-RANDOM;parttree;39.0
cyt3;slave;1000;CLUSTALO;CLUSTALO-RANDOM;famsadnd;49.2
cyt3;slave;1000;CLUSTALO;FAMSA;mbed;61.0
cyt3;slave;1000;CLUSTALO;FAMSA;parttree;28.0
cyt3;slave;1000;CLUSTALO;FAMSA;famsadnd;49.2
cyt3;slave;1000;CLUSTALO;MAFFT_PARTTREE;mbed;60.2
cyt3;slave;1000;CLUSTALO;MAFFT_PARTTREE;parttree;45.8
cyt3;slave;1000;CLUSTALO;MAFFT_PARTTREE;famsadnd;49.2
cyt3;slave;1000;MAFFT-FFTNS1;CLUSTALO;mbed;22.9
cyt3;slave;1000;MAFFT-FFTNS1;CLUSTALO;parttree;27.1
cyt3;slave;1000;MAFFT-FFTNS1;CLUSTALO;famsadnd;10.2
cyt3;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;mbed;23.7
cyt3;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;parttree;15.3
cyt3;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;famsadnd;6.8
cyt3;slave;1000;MAFFT-FFTNS1;FAMSA;mbed;28.0
cyt3;slave;1000;MAFFT-FFTNS1;FAMSA;parttree;22.0
cyt3;slave;1000;MAFFT-FFTNS1;FAMSA;famsadnd;33.9
cyt3;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;mbed;24.6
cyt3;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;parttree;15.3
cyt3;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;famsadnd;16.9
cyt3;slave;1000;FAMSA;CLUSTALO;mbed;54.2
cyt3;slave;1000;FAMSA;CLUSTALO;parttree;45.8
cyt3;slave;1000;FAMSA;CLUSTALO;famsadnd;43.2
cyt3;slave;1000;FAMSA;CLUSTALO-RANDOM;mbed;38.1
cyt3;slave;1000;FAMSA;CLUSTALO-RANDOM;parttree;28.0
cyt3;slave;1000;FAMSA;CLUSTALO-RANDOM;famsadnd;43.2
cyt3;slave;1000;FAMSA;FAMSA;mbed;57.6
cyt3;slave;1000;FAMSA;FAMSA;parttree;17.8
cyt3;slave;1000;FAMSA;FAMSA;famsadnd;43.2
cyt3;slave;1000;FAMSA;MAFFT_PARTTREE;mbed;58.5
cyt3;slave;1000;FAMSA;MAFFT_PARTTREE;parttree;24.6
cyt3;slave;1000;FAMSA;MAFFT_PARTTREE;famsadnd;43.2
rnasemam;slave;1000;CLUSTALO;CLUSTALO;mbed;73.1
rnasemam;slave;1000;CLUSTALO;CLUSTALO;parttree;70.9
rnasemam;slave;1000;CLUSTALO;CLUSTALO;famsadnd;79.9
rnasemam;slave;1000;CLUSTALO;CLUSTALO-RANDOM;mbed;73.1
rnasemam;slave;1000;CLUSTALO;CLUSTALO-RANDOM;parttree;64.9
rnasemam;slave;1000;CLUSTALO;CLUSTALO-RANDOM;famsadnd;79.9
rnasemam;slave;1000;CLUSTALO;FAMSA;mbed;73.1
rnasemam;slave;1000;CLUSTALO;FAMSA;parttree;69.4
rnasemam;slave;1000;CLUSTALO;FAMSA;famsadnd;79.9
rnasemam;slave;1000;CLUSTALO;MAFFT_PARTTREE;mbed;73.1
rnasemam;slave;1000;CLUSTALO;MAFFT_PARTTREE;parttree;67.2
rnasemam;slave;1000;CLUSTALO;MAFFT_PARTTREE;famsadnd;79.9
rnasemam;slave;1000;MAFFT-FFTNS1;CLUSTALO;mbed;47.8
rnasemam;slave;1000;MAFFT-FFTNS1;CLUSTALO;parttree;45.5
rnasemam;slave;1000;MAFFT-FFTNS1;CLUSTALO;famsadnd;50.0
rnasemam;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;mbed;43.3
rnasemam;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;parttree;47.8
rnasemam;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;famsadnd;46.3
rnasemam;slave;1000;MAFFT-FFTNS1;FAMSA;mbed;53.0
rnasemam;slave;1000;MAFFT-FFTNS1;FAMSA;parttree;24.6
rnasemam;slave;1000;MAFFT-FFTNS1;FAMSA;famsadnd;38.8
rnasemam;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;mbed;35.8
rnasemam;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;parttree;44.8
rnasemam;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;famsadnd;52.2
rnasemam;slave;1000;FAMSA;CLUSTALO;mbed;70.9
rnasemam;slave;1000;FAMSA;CLUSTALO;parttree;66.4
rnasemam;slave;1000;FAMSA;CLUSTALO;famsadnd;69.4
rnasemam;slave;1000;FAMSA;CLUSTALO-RANDOM;mbed;69.4
rnasemam;slave;1000;FAMSA;CLUSTALO-RANDOM;parttree;50.0
rnasemam;slave;1000;FAMSA;CLUSTALO-RANDOM;famsadnd;69.4
rnasemam;slave;1000;FAMSA;FAMSA;mbed;70.1
rnasemam;slave;1000;FAMSA;FAMSA;parttree;60.4
rnasemam;slave;1000;FAMSA;FAMSA;famsadnd;69.4
rnasemam;slave;1000;FAMSA;MAFFT_PARTTREE;mbed;70.1
rnasemam;slave;1000;FAMSA;MAFFT_PARTTREE;parttree;65.7
rnasemam;slave;1000;FAMSA;MAFFT_PARTTREE;famsadnd;69.4
bowman;slave;1000;CLUSTALO;CLUSTALO;mbed;75.7
bowman;slave;1000;CLUSTALO;CLUSTALO;parttree;74.3
bowman;slave;1000;CLUSTALO;CLUSTALO;famsadnd;72.9
bowman;slave;1000;CLUSTALO;CLUSTALO-RANDOM;mbed;71.4
bowman;slave;1000;CLUSTALO;CLUSTALO-RANDOM;parttree;34.3
bowman;slave;1000;CLUSTALO;CLUSTALO-RANDOM;famsadnd;72.9
bowman;slave;1000;CLUSTALO;FAMSA;mbed;75.7
bowman;slave;1000;CLUSTALO;FAMSA;parttree;74.3
bowman;slave;1000;CLUSTALO;FAMSA;famsadnd;72.9
bowman;slave;1000;CLUSTALO;MAFFT_PARTTREE;mbed;71.4
bowman;slave;1000;CLUSTALO;MAFFT_PARTTREE;parttree;74.3
bowman;slave;1000;CLUSTALO;MAFFT_PARTTREE;famsadnd;72.9
bowman;slave;1000;MAFFT-FFTNS1;CLUSTALO;mbed;87.1
bowman;slave;1000;MAFFT-FFTNS1;CLUSTALO;parttree;62.9
bowman;slave;1000;MAFFT-FFTNS1;CLUSTALO;famsadnd;64.3
bowman;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;mbed;80.0
bowman;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;parttree;88.6
bowman;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;famsadnd;78.6
bowman;slave;1000;MAFFT-FFTNS1;FAMSA;mbed;32.9
bowman;slave;1000;MAFFT-FFTNS1;FAMSA;parttree;77.1
bowman;slave;1000;MAFFT-FFTNS1;FAMSA;famsadnd;65.7
bowman;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;mbed;94.3
bowman;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;parttree;75.7
bowman;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;famsadnd;80.0
bowman;slave;1000;FAMSA;CLUSTALO;mbed;71.4
bowman;slave;1000;FAMSA;CLUSTALO;parttree;70.0
bowman;slave;1000;FAMSA;CLUSTALO;famsadnd;71.4
bowman;slave;1000;FAMSA;CLUSTALO-RANDOM;mbed;71.4
bowman;slave;1000;FAMSA;CLUSTALO-RANDOM;parttree;71.4
bowman;slave;1000;FAMSA;CLUSTALO-RANDOM;famsadnd;71.4
bowman;slave;1000;FAMSA;FAMSA;mbed;71.4
bowman;slave;1000;FAMSA;FAMSA;parttree;71.4
bowman;slave;1000;FAMSA;FAMSA;famsadnd;71.4
bowman;slave;1000;FAMSA;MAFFT_PARTTREE;mbed;71.4
bowman;slave;1000;FAMSA;MAFFT_PARTTREE;parttree;71.4
bowman;slave;1000;FAMSA;MAFFT_PARTTREE;famsadnd;71.4
toxin;slave;1000;CLUSTALO;CLUSTALO;mbed;54.5
toxin;slave;1000;CLUSTALO;CLUSTALO;parttree;29.9
toxin;slave;1000;CLUSTALO;CLUSTALO;famsadnd;50.6
toxin;slave;1000;CLUSTALO;CLUSTALO-RANDOM;mbed;48.1
toxin;slave;1000;CLUSTALO;CLUSTALO-RANDOM;parttree;44.2
toxin;slave;1000;CLUSTALO;CLUSTALO-RANDOM;famsadnd;50.6
toxin;slave;1000;CLUSTALO;FAMSA;mbed;49.4
toxin;slave;1000;CLUSTALO;FAMSA;parttree;36.4
toxin;slave;1000;CLUSTALO;FAMSA;famsadnd;50.6
toxin;slave;1000;CLUSTALO;MAFFT_PARTTREE;mbed;45.5
toxin;slave;1000;CLUSTALO;MAFFT_PARTTREE;parttree;36.4
toxin;slave;1000;CLUSTALO;MAFFT_PARTTREE;famsadnd;50.6
toxin;slave;1000;MAFFT-FFTNS1;CLUSTALO;mbed;33.8
toxin;slave;1000;MAFFT-FFTNS1;CLUSTALO;parttree;23.4
toxin;slave;1000;MAFFT-FFTNS1;CLUSTALO;famsadnd;26.0
toxin;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;mbed;36.4
toxin;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;parttree;33.8
toxin;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;famsadnd;24.7
toxin;slave;1000;MAFFT-FFTNS1;FAMSA;mbed;35.1
toxin;slave;1000;MAFFT-FFTNS1;FAMSA;parttree;39.0
toxin;slave;1000;MAFFT-FFTNS1;FAMSA;famsadnd;28.6
toxin;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;mbed;28.6
toxin;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;parttree;36.4
toxin;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;famsadnd;36.4
toxin;slave;1000;FAMSA;CLUSTALO;mbed;45.5
toxin;slave;1000;FAMSA;CLUSTALO;parttree;28.6
toxin;slave;1000;FAMSA;CLUSTALO;famsadnd;45.5
toxin;slave;1000;FAMSA;CLUSTALO-RANDOM;mbed;44.2
toxin;slave;1000;FAMSA;CLUSTALO-RANDOM;parttree;32.5
toxin;slave;1000;FAMSA;CLUSTALO-RANDOM;famsadnd;45.5
toxin;slave;1000;FAMSA;FAMSA;mbed;40.3
toxin;slave;1000;FAMSA;FAMSA;parttree;23.4
toxin;slave;1000;FAMSA;FAMSA;famsadnd;45.5
toxin;slave;1000;FAMSA;MAFFT_PARTTREE;mbed;48.1
toxin;slave;1000;FAMSA;MAFFT_PARTTREE;parttree;32.5
toxin;slave;1000;FAMSA;MAFFT_PARTTREE;famsadnd;45.5
ghf11;slave;1000;CLUSTALO;CLUSTALO;mbed;84.4
ghf11;slave;1000;CLUSTALO;CLUSTALO;parttree;70.8
ghf11;slave;1000;CLUSTALO;CLUSTALO;famsadnd;83.3
ghf11;slave;1000;CLUSTALO;CLUSTALO-RANDOM;mbed;83.3
ghf11;slave;1000;CLUSTALO;CLUSTALO-RANDOM;parttree;72.4
ghf11;slave;1000;CLUSTALO;CLUSTALO-RANDOM;famsadnd;83.3
ghf11;slave;1000;CLUSTALO;FAMSA;mbed;86.5
ghf11;slave;1000;CLUSTALO;FAMSA;parttree;71.4
ghf11;slave;1000;CLUSTALO;FAMSA;famsadnd;83.3
ghf11;slave;1000;CLUSTALO;MAFFT_PARTTREE;mbed;82.8
ghf11;slave;1000;CLUSTALO;MAFFT_PARTTREE;parttree;70.3
ghf11;slave;1000;CLUSTALO;MAFFT_PARTTREE;famsadnd;83.3
ghf11;slave;1000;MAFFT-FFTNS1;CLUSTALO;mbed;68.2
ghf11;slave;1000;MAFFT-FFTNS1;CLUSTALO;parttree;66.1
ghf11;slave;1000;MAFFT-FFTNS1;CLUSTALO;famsadnd;58.9
ghf11;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;mbed;55.2
ghf11;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;parttree;54.2
ghf11;slave;1000;MAFFT-FFTNS1;CLUSTALO-RANDOM;famsadnd;58.3
ghf11;slave;1000;MAFFT-FFTNS1;FAMSA;mbed;70.3
ghf11;slave;1000;MAFFT-FFTNS1;FAMSA;parttree;62.5
ghf11;slave;1000;MAFFT-FFTNS1;FAMSA;famsadnd;61.5
ghf11;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;mbed;66.1
ghf11;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;parttree;53.6
ghf11;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;famsadnd;61.5
ghf11;slave;1000;FAMSA;CLUSTALO;mbed;83.3
ghf11;slave;1000;FAMSA;CLUSTALO;parttree;74.0
ghf11;slave;1000;FAMSA;CLUSTALO;famsadnd;79.7
ghf11;slave;1000;FAMSA;CLUSTALO-RANDOM;mbed;85.4
ghf11;slave;1000;FAMSA;CLUSTALO-RANDOM;parttree;72.4
